employment_length,probability,id,employer_title,home_ownership,annual_income
10.0,0.30812496,1077501,,rent,24000.0
1.0,0.33785075,1077430,ryder,rent,30000.0
10.0,0.28833166,1077175,,rent,12252.0
10.0,0.26619902,1076863,air resources board,rent,49200.0
1.0,0.18026847,1075358,university medical group,rent,80000.0
3.0,0.25850615,1075269,veolia transportaton,rent,36000.0
8.0,0.22756353,1069639,southern star photography,rent,47004.0
9.0,0.29138622,1072053,mkc accounting,rent,48000.0
4.0,0.20051898,1071795,,own,40000.0
1.0,0.39404926,1071570,starbucks,rent,15000.0
10.0,0.21835707,1070078,southwest rural metro,own,72000.0
10.0,0.3607986,1069908,ucla,own,75000.0
1.0,0.29511666,1064687,va. dept of conservation/recreation,rent,30000.0
1.0,0.28859335,1069866,target,rent,15000.0
3.0,0.20477,1069057,sfmta,rent,100000.0
1.0,0.25678974,1069759,internal revenue service,rent,28000.0
4.0,0.16637722,1065775,chin's restaurant,rent,42000.0
10.0,0.4395478,1069971,duracell,mortgage,110000.0
3.0,0.28792608,1062474,connection inspection,mortgage,84000.0
1.0,0.1740403,1069742,network interpreting service,rent,77385.19
8.0,0.25980872,1069740,archdiocese of galveston houston,rent,43370.0
10.0,0.17749465,1039153,osram sylvania,rent,105000.0
10.0,0.36740553,1069710,value air,own,50000.0
10.0,0.23683177,1069700,wells fargo bank,rent,50000.0
1.0,0.29877934,1069559,bmg-educational,rent,76000.0
10.0,0.24755871,1069697,winfield pathology consultants,mortgage,92000.0
9.0,0.25001174,1069800,nyc transit,rent,60000.0
10.0,0.2251792,1069657,frito lay,rent,50004.0
10.0,0.35239103,1069799,shands hospital at the university of fl,mortgage,106000.0
1.0,0.35697934,1047704,oakridge homes,rent,25000.0
7.0,0.38111576,1032111,,mortgage,17108.0
10.0,0.23877464,1069539,audubon mutual housing corporation,mortgage,75000.0
2.0,0.22192453,1065420,us legal support,rent,29120.0
2.0,0.4135756,1069591,good samaritan society,rent,24044.0
10.0,0.1929869,1069530,greg barrett drywall,rent,34000.0
10.0,0.3422581,1069522,sharp lawn inc.,rent,41000.0
10.0,0.2666918,1069361,department of justice,rent,55596.0
1.0,0.22486536,1069357,gateway hospice,rent,45000.0
3.0,0.24690424,1069356,cox communications,rent,36852.0
1.0,0.36482888,1069346,united states infrastructure corporation,rent,27000.0
5.0,0.1758608,1067573,nucor building systems,rent,68004.0
10.0,0.37265494,1069506,john wiley jr.,rent,62300.0
9.0,0.3154645,1069314,,mortgage,65000.0
10.0,0.28717124,1060578,citizens bank,rent,55000.0
10.0,0.27399415,1069469,"stewart enterprises, inc.",mortgage,45600.0
3.0,0.26232588,1051117,golfers warehouse,rent,80000.0
10.0,0.25290042,1069465,steris corporation,mortgage,100000.0
1.0,0.18892807,1069283,costco wholesale corp.,rent,27000.0
10.0,0.24190815,1069287,helicoil,rent,60000.0
1.0,0.17427707,1069453,cognizant technology solutions,rent,70000.0
8.0,0.4447727,1069248,caterpillar inc.,mortgage,80000.0
6.0,0.18491432,1068120,city of santa monica,rent,110000.0
1.0,0.23664327,1069244,aerotek scientific,rent,40000.0
10.0,0.26599124,1069243,chemat technology inc,rent,50000.0
1.0,0.27501515,1069238,scott & white,rent,46000.0
10.0,0.22724494,1069410,costco,rent,50000.0
1.0,0.24156076,1068409,ca technologies,rent,81000.0
1.0,0.2702302,1068487,netflix,own,39000.0
2.0,0.22003342,1043961,dcaa,rent,51400.0
3.0,0.19774331,1068945,triple d security,mortgage,33000.0
1.0,0.32475585,1069142,wrisco,mortgage,30000.0
6.0,0.2999008,1068934,,rent,40000.0
10.0,0.21448722,1069136,webb candy,rent,50000.0
10.0,0.23124303,1068923,omniplex,rent,62000.0
10.0,0.29766706,1069126,cec entertainment inc,rent,45996.0
10.0,0.28418377,1069102,cpi,mortgage,55000.0
1.0,0.2501341,1069093,grandma kitchen,rent,30000.0
4.0,0.3006731,1069030,"gen-probe, inc",rent,44544.0
4.0,0.3094537,1068906,autozone,rent,75000.0
10.0,0.26457828,1069073,usaf civil service,own,61000.0
